000100xxxxxxxxxxxxxxx10010000100 vmr VREG,VREG
000100xxxxxxxxxxxxxxx10010000110 vcmpequw. VREG,VREG,VREG
000100xxxxxxxxxxxxxxx10010000111 vcmpnew. VREG,VREG,VREG
000100xxxxxxxxxxxxxxx10010001000 vpmsumw VREG,VREG,VREG
000100xxxxxxxxxxxxxxx10011000000 vsubudm VREG,VREG,VREG
000100xxxxxxxxxxxxxxx1x011000001 bcds. VREG,VREG,VREG,NUM
000100xxxxxxxxxxxxxxx10011000010 evsubfusiaaw GPR,GPR
000100xxxxxxxxxxxxxxx10011000011 evsubfssiaaw GPR,GPR
000100xxxxxxxxxxxxxxx10011000100 vxor VREG,VREG,VREG
000100xxxxxxxxxxxxxxx10011000110 vcmpeqfp. VREG,VREG,VREG
000100xxxxxxxxxxxxxxx10011000111 vcmpequd. VREG,VREG,VREG
000100xxxxxxxxxxxxxxx10011001000 vpmsumd VREG,VREG,VREG
000100xxxxxxxxxxxxxxx10011001001 evaddsmiaaw GPR,GPR
000100xxxxxxxxxxxxxxx10011001010 evsubfumiaaw GPR,GPR
000100xxxxxxxxxxxxxxx10011001011 evsubfsmiaaw GPR,GPR
000100xxxxxxxxxxxxxxx10011001110 vpkudus VREG,VREG,VREG
000100xxxxxxxxxxxxxxx10100000000 vsubuqm VREG,VREG,VREG
000100xxxxxxxxxxxxxxx1x100000001 bcdtrunc. VREG,VREG,VREG,NUM
000100xxxxxxxxxxxxxxx10100000010 vavgsb VREG,VREG,VREG
000100xxxxxxxxxxxxxxx10100000011 evmhessfaaw GPR,GPR,GPR
000100xxxxxxxxxxxxxxx10100000100 vnot VREG,VREG
000100xxxxxxxxxxxxxxx10100000101 evmhossiaaw GPR,GPR,GPR
000100xxxxxxxxxxxxxxx10100000110 udi4fcm. NUM,NUM,NUM
000100xxxxxxxxxxxxxxx10100000111 vcmpnezb. VREG,VREG,VREG
000100xxxxxxxxxxxxxxx10100001000 vcipher VREG,VREG,VREG
000100xxxxxxxxxxxxxxx10100001001 vcipherlast VREG,VREG,VREG
000100xxxxxxxxxxxxxxx10100001011 evmhesmfaaw GPR,GPR,GPR
000100xxxxx00000xxxxx10100001100 vgbbd VREG,VREG
000100xxxxxxxxxxxxxxx10100101100 evmhogumiaa GPR,GPR,GPR
000100xxxxxxxxxxxxxxx10101000000 vsubcuq VREG,VREG,VREG
000100xxxxxxxxxxxxxxx10101000001 bcdutrunc. VREG,VREG,VREG
000100xxxxxxxxxxxxxxx10101000010 vavgsh VREG,VREG,VREG
000100xxxxxxxxxxxxxxx10101000011 evmwlssfaaw GPR,GPR,GPR
000100xxxxxxxxxxxxxxx10101000100 vorc VREG,VREG,VREG
000100xxxxxxxxxxxxxxx10101000101 evmwhssmaa GPR,GPR,GPR
000100xxxxxxxxxxxxxxx10101000110 udi5fcm. NUM,NUM,NUM
000100xxxxxxxxxxxxxxx10101000111 vcmpnezh. VREG,VREG,VREG
000100xxxxxxxxxxxxxxx10101001000 vncipher VREG,VREG,VREG
000100xxxxxxxxxxxxxxx10101001001 vncipherlast VREG,VREG,VREG
000100xxxxxxxxxxxxxxx10101001011 evmwlsmfaaw GPR,GPR,GPR
000100xxxxxxxxxxxxxxx10101001100 vbpermq VREG,VREG,VREG
000100xxxxxxxxxxxxxxx10101001110 vpksdus VREG,VREG,VREG
000100xxxxxxxxxxxxxxx10101010011 evmwssfaa GPR,GPR,GPR
